点赞数	评论数	转发数	阅读数	在看数	收藏数

23	0	0	1279		6

14	0	0	1064		3
30	3	0	2713		4


5	1	0	30		0

16	1	0	946		3
103	10	0	10867		41
33	1	0	2229		0
11	0	0	279		4

4	0	0	309		0

3	0	0	524		1
183	1	1	23693		26

14	6	0	1777		5

16	1	0	1739		0
32	7	0	3901		9
17	3	0	5164		4
4	0	0	1328		2
339	40	0	47816		58
6	0	0	241		2

21	2	0	2842		4
90	22	0	16903		13
56	4	0	8796		20



3	0	0	139		0
4	0	0	133		1



0	1	0	399		0
4	0	0	234		2
2	0	0	22		0
4	3	0	605		1
125	1	0	18589		26
7	0	0	1547		0
72	4	0	10531		11

17	0	0	5644		3
24	5	0	6031		4




55	0	0	4352		8
8	0	0	500		3

3	0	0	118		0

45	1	0	8770		10
13	2	0	2061		0



8	0	0	1119		3
415	20	0	73557		73


359	114	0	52560		64
148	23	0	11854		24
55	0	0	4298		6
6	0	0	1528		4
15	0	0	645		2
86	2	0	6851		12
89	3	0	15354		17


9	0	0	258		2
128	7	0	18681		52
13	4	0	4653		3
217	4	0	90563		52
59	0	0	4909		10
4	0	0	313		1

86	10	0	6468		6
56	0	0	7617		14
35	1	0	5249		10



6	0	0	702		1


0	0	0	9		0

2	0	0	82		0

218	5	0	15304		47
7	0	0	398		4
2	0	0	65		0
8	1	0	483		3
0	1	0	119		0
2	0	0	20		1

10	0	0	253		0
8	0	0	1725		2
34	2	0	10748		2
120	24	0	15702		20
7	1	0	767		0

78	5	0	9622		7
37	3	0	3213		10

5	0	0	220		2

3	0	0	147		0
0	0	0	40		0

2	0	0	194		0

152	0	0	18671		25
4	0	0	327		1
2	0	0	565		0

185	20	0	24454		33
1	0	0	64		0
1	0	0	52		0
12	3	1	2388		6
0	0	0	7		0

9	0	0	294		1
29	2	0	7235		10

3	0	0	225		0
7	0	0	489		0
98	5	0	16318		18

82	8	0	10085		15
52	0	0	3274		15

21	0	0	853		1

14	0	0	1142		4

12	1	0	1156		3



16	0	0	1355		5
3	0	0	313		1
2	0	0	1362		0
5	0	0	133		3

95	9	0	17601		16
3	0	0	224		0
0	0	0	329		0
48	2	0	3166		10
8	0	0	1006		0

19	3	1	413		5
692	27	0	62536		114
5	2	0	295		2

42	2	0	7264		7
34	2	0	4763		8

9	0	0	743		1
44	1	0	10250		16

458	21	0	48346		94
7	0	0	830		1
16	1	0	683		3

127	2	0	16270		25
102	1	0	5862		14
4	0	0	93		0


45	0	0	8197		10
1	0	0	784		0

369	20	0	60439		64

6	0	0	32		0
203	11	0	10063		61
40	1	0	2003		10

57	2	0	10965		17
30	1	0	3649		6

2	0	0	45		1
